thr,sign,sname,tr_n_x,tr_hit_x,tr_net,tr_cum,tr_p,tr_hits,chosen_sname,tr_hit_y,tr_n_y,oos_n,oos_hit,oos_net,oos_cum,oos_p,full_n,full_hit,full_cum
0,1,정방향(VIX↑→BTC↓),756,48.67724867724868,0.00951657890795744,7.1945336544158245,0.4895759892717044,368,역방향(VIX↑→BTC↑),51.32275132275132,756,869,51.55350978135789,0.05044000486259516,43.832364225595185,0.3777926677413586,1625,51.44615384615384,-23.84216942882065
0,-1,역방향(VIX↑→BTC↑),756,51.32275132275132,-0.08951657890795749,-67.67453365441585,0.4895759892717044,388,역방향(VIX↑→BTC↑),51.32275132275132,756,869,51.55350978135789,0.05044000486259516,43.832364225595185,0.3777926677413586,1625,51.44615384615384,-23.84216942882065
1,1,정방향(VIX↑→BTC↓),669,48.729446935724965,0.09618368412629047,64.34688468048833,0.5362141665068263,326,역방향(VIX↑→BTC↑),51.270553064275035,669,726,52.61707988980716,0.06386129996002865,46.3633037709808,0.16964721118570855,1395,51.971326164874554,-71.50358090950753
1,-1,역방향(VIX↑→BTC↑),669,51.270553064275035,-0.17618368412629049,-117.86688468048834,0.5362141665068263,343,역방향(VIX↑→BTC↑),51.270553064275035,669,726,52.61707988980716,0.06386129996002865,46.3633037709808,0.16964721118570855,1395,51.971326164874554,-71.50358090950753
2,1,정방향(VIX↑→BTC↓),567,49.029982363315696,0.16779350198669835,95.13891562645796,0.6745515452292876,278,역방향(VIX↑→BTC↑),50.970017636684304,567,604,53.47682119205298,0.0740004582646044,44.696276791821056,0.09518140477677643,1171,52.26302305721605,-95.80263883463692
2,-1,역방향(VIX↑→BTC↑),567,50.970017636684304,-0.2477935019866983,-140.49891562645794,0.6745515452292876,289,역방향(VIX↑→BTC↑),50.970017636684304,567,604,53.47682119205298,0.0740004582646044,44.696276791821056,0.09518140477677643,1171,52.26302305721605,-95.80263883463692
3,1,정방향(VIX↑→BTC↓),484,47.93388429752066,0.11967464428308303,57.92252783301218,0.38780868386125844,232,역방향(VIX↑→BTC↑),52.066115702479344,484,498,53.21285140562249,0.10473452698822266,52.157794440134886,0.16472358715040653,982,52.64765784114053,-44.48473339287743
3,-1,역방향(VIX↑→BTC↑),484,52.066115702479344,-0.1996746442830833,-96.64252783301231,0.38780868386125844,252,역방향(VIX↑→BTC↑),52.066115702479344,484,498,53.21285140562249,0.10473452698822266,52.157794440134886,0.16472358715040653,982,52.64765784114053,-44.48473339287743
5,1,정방향(VIX↑→BTC↓),320,48.4375,0.16777040934344026,53.68653098990088,0.6149524312082365,155,역방향(VIX↑→BTC↑),51.5625,320,319,52.66457680250783,0.19995120639180664,63.784434838986314,0.37036985393006366,639,52.112676056338024,-15.502096150914646
5,-1,역방향(VIX↑→BTC↑),320,51.5625,-0.24777040934344047,-79.28653098990095,0.6149524312082365,165,역방향(VIX↑→BTC↑),51.5625,320,319,52.66457680250783,0.19995120639180664,63.784434838986314,0.37036985393006366,639,52.112676056338024,-15.502096150914646
7,1,정방향(VIX↑→BTC↓),214,49.532710280373834,0.2166416662297321,46.36131657316267,0.9455214144492773,106,역방향(VIX↑→BTC↑),50.467289719626166,214,203,48.275862068965516,0.15887210496573018,32.25103730804322,0.6737740741736243,417,49.40047961630695,-31.23027926511945
7,-1,역방향(VIX↑→BTC↑),214,50.467289719626166,-0.2966416662297321,-63.48131657316267,0.9455214144492773,108,역방향(VIX↑→BTC↑),50.467289719626166,214,203,48.275862068965516,0.15887210496573018,32.25103730804322,0.6737740741736243,417,49.40047961630695,-31.23027926511945
10,1,정방향(VIX↑→BTC↓),111,52.25225225225225,0.20816667298509078,23.106500701345077,0.7043793154248918,58,정방향(VIX↑→BTC↓),52.25225225225225,111,113,53.09734513274337,-0.19319709738691865,-21.831272004721807,0.5726564757939482,224,52.67857142857143,1.2752286966232846
10,-1,역방향(VIX↑→BTC↑),111,47.74774774774775,-0.288166672985091,-31.986500701345104,0.7043793154248918,53,정방향(VIX↑→BTC↓),52.25225225225225,111,113,53.09734513274337,-0.19319709738691865,-21.831272004721807,0.5726564757939482,224,52.67857142857143,1.2752286966232846
